seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Marc,Dean,48,Jivag Junction,Sebvakor,ME,20957,$2134.32,YELLOW,02/16/1966
2,Albert,Bell,53,Rezgiw Terrace,Ujjace,NH,71459,$4678.59,RED,09/22/2018
3,Rhoda,Spencer,58,Zamab Drive,Hakajjes,DC,75839,$1054.81,WHITE,04/29/1906
4,Olive,Abbott,47,Usuzi Avenue,Tazerler,GA,76756,$4040.33,GREEN,07/05/1933
5,Gerald,Powers,50,Fidgub Street,Tofidac,FL,07757,$2781.68,WHITE,03/20/1951
6,Henry,Curry,34,Loged Pike,Voigasu,AR,54556,$3745.45,GREEN,05/29/1950
7,Norman,Porter,32,Bata Trail,Iceulfo,LA,61137,$6719.69,GREEN,01/13/1964
8,Anthony,Lambert,34,Fivo Center,Nibpiab,ND,11401,$5315.04,YELLOW,08/01/2049
9,Alan,Wheeler,34,Suve View,Durapoh,AL,69726,$8387.64,GREEN,12/12/1910
10,Tom,Townsend,20,Tocwok Grove,Ipucoge,SC,89266,$3735.00,WHITE,03/14/2059
11,Jeff,Guerrero,61,Ijrep Loop,Moggadi,ND,73139,$11.78,WHITE,01/02/2000
12,Zachary,Kelley,64,Safe Loop,Ukhigme,IL,25859,$6078.59,WHITE,03/11/2062
13,Roger,Sharp,60,Hace Key,Kabupit,MS,11144,$8741.68,BLUE,12/14/2015
14,Cora,Poole,30,Uvomor View,Sezbiji,DC,09388,$5022.48,WHITE,04/16/2011
15,Curtis,Shelton,21,Bibwih Boulevard,Rubzoili,CO,37315,$2889.46,WHITE,12/18/1979
16,Irene,Ortega,34,Etioca Manor,Cuegiam,OH,89177,$7947.59,WHITE,06/08/1929
17,Jerome,Green,58,Dawosa Plaza,Wefuwit,ME,23681,$8068.76,YELLOW,08/19/2011
18,Mildred,Zimmerman,37,Basvi Manor,Lecegu,WI,87447,$50.53,BLUE,12/20/1965
19,Jeffrey,Dean,27,Ruwiza Pike,Ovimidi,RI,23599,$8465.53,GREEN,08/27/1911
20,Eunice,Summers,60,Ilic Ridge,Pijejuj,GA,75934,$3402.52,RED,08/04/2068
21,Norman,Davidson,33,Zoute Way,Teohgel,DE,25202,$9720.49,GREEN,02/22/1900
22,Daniel,Vasquez,49,Birsul Terrace,Neripma,WI,57280,$6101.12,GREEN,07/25/2047
23,Miguel,Simpson,34,Ijawez View,Nibmozi,WI,09221,$8420.11,YELLOW,04/13/1960
24,Ollie,Sherman,32,Owivaf Key,Vewivo,IN,61463,$4917.94,BLUE,04/29/1915
25,Zachary,Christensen,25,Webof Junction,Runtobwal,MD,96881,$2260.68,RED,01/03/2011
26,Barry,Logan,57,Gewo Heights,Tiuske,WI,44683,$1804.73,YELLOW,11/13/2020
27,Katie,Hodges,30,Ardo Circle,Endial,TX,00971,$1753.23,RED,02/09/1957
28,Ann,Ortiz,41,Ommig Boulevard,Tewisa,NH,82678,$718.57,YELLOW,07/05/2021
29,Trevor,Huff,49,Okda View,Lawbumu,IA,37194,$6851.75,YELLOW,06/10/1948
30,Alice,Rose,22,Udiiz Plaza,Lokumaza,IN,85001,$6711.44,WHITE,08/09/2069
31,Leila,Robbins,44,Dazez Trail,Porospic,NJ,65097,$3183.10,RED,12/12/1954
32,Angel,Bates,27,Fisho Pass,Nenhekel,UT,36643,$5284.96,BLUE,04/26/2022
33,Barbara,Berry,31,Ceoce Highway,Neanvu,MA,04321,$6355.10,BLUE,11/11/1991
34,Charlotte,Boyd,27,Gagcif Boulevard,Virvofvo,CT,49109,$7629.18,RED,12/11/1996
35,Etta,Banks,26,Saepi Circle,Elnove,VT,32832,$3252.32,GREEN,04/05/2016
36,Maria,Warren,61,Zigwi River,Demivetup,CA,63181,$3305.36,GREEN,02/03/1979
37,Josie,Norris,37,Hiwwe Manor,Loriga,ME,24376,$9521.92,BLUE,10/15/1983
